status	path	category	recommended_action	seal_impact
 M	.titane-security-config.json	security_config	validate_and_commit_or_revert	BLOCKER
 M	deployment/latest/MANIFEST.json	runtime_release_surface	validate_and_commit_or_revert	BLOCKER
 M	index.html	frontend_runtime	validate_and_commit_or_revert	BLOCKER
 M	memory/memory_core_state.json	runtime_memory_state	usually_revert_for_clean_tree	BLOCKER
 M	registry/autofix-autoheal-rules.jsonl	autoheal_registry	keep_append_only	BLOCKER
 M	runtime/stable/manifest.json	runtime_release_surface	validate_and_commit_or_revert	BLOCKER
 M	runtime/stable/tauri.conf.json	runtime_release_surface	validate_and_commit_or_revert	BLOCKER
 M	scripts/autoheal/autoheal_rules.jsonl	autoheal_registry	keep_append_only	BLOCKER
 M	scripts/check_forbidden_files.sh	runtime_release_surface	validate_and_commit_or_revert	BLOCKER
 M	scripts/titane-infinity.desktop	runtime_release_surface	validate_and_commit_or_revert	BLOCKER
 M	src/App.tsx	frontend_runtime	validate_and_commit_or_revert	BLOCKER
 M	src/entry.ts	frontend_runtime	validate_and_commit_or_revert	BLOCKER
 M	titane-infinity.desktop	runtime_release_surface	validate_and_commit_or_revert	BLOCKER
??	proof_packs/AUTHORIZED_TRIGGER_ACTIVATION_2026-03-07_0838_757ae4d4c/	proof_pack_untracked	keep_untracked_or_archive	BLOCKER
??	proof_packs/BASELINE_MONITOR_MODE_2026-03-07_1300_757ae4d4c/	proof_pack_untracked	keep_untracked_or_archive	BLOCKER
??	proof_packs/DOCTRINE_RESOLUTION_PROOF_PACKS_2026-03-07_1225_757ae4d4c/	proof_pack_untracked	keep_untracked_or_archive	BLOCKER
??	proof_packs/FINAL_LOCAL_PROD_STABLE_INSTALL_2026-03-07_1600_757ae4d4c9/	proof_pack_untracked	keep_untracked_or_archive	BLOCKER
??	proof_packs/FINAL_SEAL_EXECUTION_2026-03-07_1239_757ae4d4c/	proof_pack_untracked	keep_untracked_or_archive	BLOCKER
??	proof_packs/GOVERNED_IDLE_CHARTER_2026-03-07_0830_757ae4d4c/	proof_pack_untracked	keep_untracked_or_archive	BLOCKER
??	proof_packs/HYGIENE_RERUN_KEEP_UNTRACKED_2026-03-07_1233_757ae4d4c/	proof_pack_untracked	keep_untracked_or_archive	BLOCKER
??	proof_packs/IDLE_REENTRY_AFTER_TRIGGER_REJECTION_2026-03-07_0844_757ae4d4c/	proof_pack_untracked	keep_untracked_or_archive	BLOCKER
??	proof_packs/NEXT_CYCLE_ENTRY_GATE_2026-03-07_1254_757ae4d4c/	proof_pack_untracked	keep_untracked_or_archive	BLOCKER
??	proof_packs/OMEGA_DORMANT_MASTER_TEMPLATE_2026-03-07_0850_757ae4d4c/	proof_pack_untracked	keep_untracked_or_archive	BLOCKER
??	proof_packs/POST_MERGE_VALIDATION_2026-03-07_757ae4d4c/	proof_pack_untracked	keep_untracked_or_archive	BLOCKER
??	proof_packs/POST_SEAL_BASELINE_CANONIZATION_2026-03-07_1245_757ae4d4c/	proof_pack_untracked	keep_untracked_or_archive	BLOCKER
??	proof_packs/PROD_ARTIFACT_ALIGNMENT_2026-03-07_1457_757ae4d4c9/	proof_pack_untracked	keep_untracked_or_archive	BLOCKER
??	proof_packs/PROD_BUILD_DEPLOY_2026-03-07_1407_757ae4d4c9/	proof_pack_untracked	keep_untracked_or_archive	BLOCKER
??	proof_packs/PROD_BUILD_DEPLOY_RETRY_2026-03-07_1417_757ae4d4c9/	proof_pack_untracked	keep_untracked_or_archive	BLOCKER
??	proof_packs/PROD_IDLE_GUARD_2026-03-07_1554_757ae4d4c9/	proof_pack_untracked	keep_untracked_or_archive	BLOCKER
??	proof_packs/PROD_PASS_CANONIZATION_2026-03-07_1519_757ae4d4c9/	proof_pack_untracked	keep_untracked_or_archive	BLOCKER
??	proof_packs/PR_CI_UNBLOCK_2026-03-06_1847_5a48aa005/	proof_pack_untracked	keep_untracked_or_archive	BLOCKER
??	proof_packs/PR_MAIN_SEAL_READINESS_2026-03-06_1752_5a48aa005/	proof_pack_untracked	keep_untracked_or_archive	BLOCKER
??	proof_packs/SEAL_READINESS_2026-03-07_1309_0af062e88/	proof_pack_untracked	keep_untracked_or_archive	BLOCKER
??	proof_packs/SENTINEL_STANDBY_MODE_2026-03-07_1305_757ae4d4c/	proof_pack_untracked	keep_untracked_or_archive	BLOCKER
??	proof_packs/TERMINAL_IDLE_ARCHIVE_2026-03-07_0855_757ae4d4c/	proof_pack_untracked	keep_untracked_or_archive	BLOCKER
??	proof_packs/TRUTH_HEAL_MAPS_2026-03-07_1249_0af062e88/	proof_pack_untracked	keep_untracked_or_archive	BLOCKER
??	proof_packs/UI_E2E_TOTAL_2026-03-06_1646_5a48aa005/	proof_pack_untracked	keep_untracked_or_archive	BLOCKER
??	proof_packs/WAKE_PROTOCOL_READY_STATE_2026-03-07_0815_757ae4d4c/	proof_pack_untracked	keep_untracked_or_archive	BLOCKER
??	proof_packs/WORKSPACE_HYGIENE_AND_SEAL_2026-03-07_0711_757ae4d4c/	proof_pack_untracked	keep_untracked_or_archive	BLOCKER
