file	line	call_type	symbol	proof_level
src/cognitive/memory/memoryEngine.ts	436	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/__tests__/singularity-fusion-integration.test.ts	16	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/__tests__/singularity-fusion-integration.test.ts	24	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/__tests__/singularity-fusion-integration.test.ts	31	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/__tests__/singularity-fusion-integration.test.ts	38	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/__tests__/singularity-fusion-integration.test.ts	46	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/__tests__/singularity-fusion-integration.test.ts	53	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/__tests__/singularity-fusion-integration.test.ts	62	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/__tests__/singularity-fusion-integration.test.ts	71	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/__tests__/singularity-fusion-integration.test.ts	81	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/__tests__/singularity-fusion-integration.test.ts	90	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/__tests__/singularity-fusion-integration.test.ts	97	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/__tests__/singularity-fusion-integration.test.ts	104	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/__tests__/singularity-fusion-integration.test.ts	109	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/__tests__/singularity-fusion-integration.test.ts	114	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/__tests__/singularity-fusion-integration.test.ts	122	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/__tests__/singularity-fusion-integration.test.ts	129	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/__tests__/singularity-fusion-integration.test.ts	134	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/__tests__/singularity-fusion-integration.test.ts	142	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/__tests__/singularity-fusion-integration.test.ts	148	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/__tests__/singularity-fusion-integration.test.ts	155	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/__tests__/singularity-fusion-integration.test.ts	164	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/__tests__/singularity-fusion-integration.test.ts	168	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/__tests__/singularity-fusion-integration.test.ts	172	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/__tests__/singularity-fusion-integration.test.ts	178	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
