path,role,ring,imported,executed,tested,obsolete
src/App.tsx,entry_point,4,true,true,true,false
src/lib/ipc.ts,ipc_contract,4,true,true,true,false
src-tauri/src/main.rs,entry_point,1,true,true,true,false
src-tauri/tauri.conf.json,config,1,true,true,false,false
src-tauri/Cargo.toml,config,1,true,false,false,false
package.json,config,4,true,true,false,false
src/components/ChatWindow.tsx,ui_component,4,true,true,true,false
src/hooks/useChat.ts,hook,4,true,true,true,false
src/services/ai/chatEngine.preload.ts,service,3,true,true,true,false
src-tauri/src/commands/mod.rs,commands,2,true,true,true,false
src-tauri/allowlist.whitelist.stable.json,security,1,true,false,false,false
src/utils/safeLazyImport.ts,utility,4,true,true,true,false
src/__tests__/boot-smoke.test.ts,test,4,false,false,true,false
tests/contract/tauri-ipc-contract.test.ts,test,4,false,false,true,false
scripts/security/no-allow-all-gate.sh,security_script,4,false,true,false,false
docs/ARCHITECTURE.md,documentation,4,false,false,false,false
runtime/stable/logs/final-audit-20260115-120003.md,log,4,false,false,false,true
_archive/,archive,4,false,false,false,true
node_modules/,dependencies,4,false,false,false,false
dist/,build_output,4,false,false,false,false
coverage/,test_coverage,4,false,false,false,false
