command	file	fn_line	attr_line
adaptive_capture_sample	src-tauri/src/adaptive/adaptive_commands.rs	118	117
adaptive_get_data	src-tauri/src/commands/mod.rs	315	314
adaptive_get_history	src-tauri/src/adaptive/adaptive_commands.rs	96	95
adaptive_get_profile	src-tauri/src/adaptive/adaptive_commands.rs	34	33
adaptive_get_summary	src-tauri/src/adaptive/adaptive_commands.rs	132	131
adaptive_learn	src-tauri/src/adaptive/adaptive_commands.rs	67	66
adaptive_run_optimization	src-tauri/src/adaptive/adaptive_commands.rs	81	80
adaptive_set_mode	src-tauri/src/adaptive/adaptive_commands.rs	45	44
add_timeline_event	src-tauri/src/api/memory_api.rs	60	59
add_timeline_event	src-tauri/src/mock_commands.rs	171	170
ai_chat_send	src-tauri/src/overdrive/chat_orchestrator.rs	1495	1494
ai_chat_stream	src-tauri/src/overdrive/chat_orchestrator.rs	1464	1463
ai_query	src-tauri/src/commands/ai_chat.rs	151	150
analyze_audio	src-tauri/src/multimodal/commands.rs	136	135
analyze_image	src-tauri/src/multimodal/commands.rs	63	62
analyze_image_path	src-tauri/src/multimodal/commands.rs	77	76
anthology_get_literary_dna	src-tauri/src/conversation_engine/commands.rs	402	401
anthology_get_statistics	src-tauri/src/conversation_engine/commands.rs	457	456
anthology_get_top_lexical_fields	src-tauri/src/conversation_engine/commands.rs	447	446
anthology_integrate_text	src-tauri/src/conversation_engine/commands.rs	380	379
anthology_search_by_layer	src-tauri/src/conversation_engine/commands.rs	423	422
anthology_search_by_tag	src-tauri/src/conversation_engine/commands.rs	412	411
api_clear_cache	src-tauri/src/overdrive/api_bridge.rs	462	461
api_enable	src-tauri/src/overdrive/api_bridge.rs	331	330
api_gemini_generate	src-tauri/src/overdrive/api_bridge.rs	492	491
api_get_cache_size	src-tauri/src/overdrive/api_bridge.rs	476	475
api_get_stats	src-tauri/src/overdrive/api_bridge.rs	360	359
api_list_configs	src-tauri/src/overdrive/api_bridge.rs	278	277
api_ollama_generate	src-tauri/src/overdrive/api_bridge.rs	527	526
api_request	src-tauri/src/overdrive/api_bridge.rs	142	141
api_reset_stats	src-tauri/src/overdrive/api_bridge.rs	404	403
api_set_key	src-tauri/src/overdrive/api_bridge.rs	308	307
api_test_connection	src-tauri/src/overdrive/api_bridge.rs	564	563
api_update_config	src-tauri/src/overdrive/api_bridge.rs	290	289
append_security_log	src-tauri/src/commands/governance_commands.rs	341	340
audio_capture_export_wav	src-tauri/src/audio/commands.rs	1536	1535
audio_capture_get_chunk	src-tauri/src/audio/commands.rs	1524	1523
audio_capture_start	src-tauri/src/audio/commands.rs	1460	1459
audio_capture_status	src-tauri/src/audio/commands.rs	1509	1508
audio_capture_stop	src-tauri/src/audio/commands.rs	1479	1478
audio_list_devices	src-tauri/src/audio/commands.rs	1553	1552
auth_delete_api_key	src-tauri/src/auth/commands.rs	73	72
auth_generate_dev_token	src-tauri/src/auth/commands.rs	23	22
auth_get_api_keys	src-tauri/src/auth/commands.rs	63	62
auth_get_status	src-tauri/src/auth/commands.rs	13	12
auth_grant_role	src-tauri/src/auth/commands.rs	83	82
auth_revoke_dev_token	src-tauri/src/auth/commands.rs	43	42
auth_revoke_role	src-tauri/src/auth/commands.rs	93	92
auth_save_api_keys	src-tauri/src/auth/commands.rs	53	52
auth_validate_dev_token	src-tauri/src/auth/commands.rs	33	32
auto_compact_memory	src-tauri/src/commands/memory_compactor_commands.rs	71	70
auto_heal_get_logs	src-tauri/src/auto_heal.rs	333	332
auto_heal_get_logs	src-tauri/src/overdrive/auto_heal.rs	536	535
auto_heal_repair	src-tauri/src/auto_heal.rs	299	298
auto_heal_repair	src-tauri/src/overdrive/auto_heal.rs	364	363
auto_heal_scan	src-tauri/src/auto_heal.rs	263	262
auto_heal_scan	src-tauri/src/overdrive/auto_heal.rs	203	202
autofix_add_mutex	src-tauri/src/singularity_fusion/auto_fix.rs	360	359
autofix_detect_invalid_states	src-tauri/src/singularity_fusion/auto_fix.rs	120	119
autofix_detect_react_hook_violations	src-tauri/src/singularity_fusion/auto_fix.rs	107	106
autofix_detect_rust_warnings	src-tauri/src/singularity_fusion/auto_fix.rs	80	79
autofix_detect_typescript_errors	src-tauri/src/singularity_fusion/auto_fix.rs	94	93
autofix_fix_all	src-tauri/src/singularity_fusion/auto_fix.rs	165	164
autofix_fix_issue	src-tauri/src/singularity_fusion/auto_fix.rs	133	132
autofix_get_history	src-tauri/src/singularity_fusion/auto_fix.rs	202	201
autofix_get_stats	src-tauri/src/singularity_fusion/auto_fix.rs	209	208
autofix_reset	src-tauri/src/singularity_fusion/auto_fix.rs	216	215
autofix_reset_state	src-tauri/src/singularity_fusion/auto_fix.rs	298	297
autofix_restart_pipeline	src-tauri/src/singularity_fusion/auto_fix.rs	338	337
autofix_restart_tauri_command	src-tauri/src/singularity_fusion/auto_fix.rs	344	343
autofix_resync_lipsync	src-tauri/src/singularity_fusion/auto_fix.rs	354	353
autofix_rust_warning	src-tauri/src/singularity_fusion/auto_fix.rs	238	237
autofix_typescript_error	src-tauri/src/singularity_fusion/auto_fix.rs	268	267
autoheal_clear_narrative	src-tauri/src/singularity_fusion/auto_heal.rs	104	103
autoheal_clear_pipeline	src-tauri/src/singularity_fusion/auto_heal.rs	159	158
autoheal_clear_tts_queue	src-tauri/src/singularity_fusion/auto_heal.rs	129	128
autoheal_detect_broken	src-tauri/src/singularity_fusion/auto_heal.rs	61	60
autoheal_detect_broken_modules	src-tauri/src/singularity_fusion/auto_heal.rs	52	51
autoheal_get_history	src-tauri/src/singularity_fusion/auto_heal.rs	283	282
autoheal_heal_avatar_module	src-tauri/src/singularity_fusion/auto_heal.rs	186	185
autoheal_heal_cognitive_module	src-tauri/src/singularity_fusion/auto_heal.rs	169	168
autoheal_heal_lipsync_module	src-tauri/src/singularity_fusion/auto_heal.rs	224	223
autoheal_heal_memory_module	src-tauri/src/singularity_fusion/auto_heal.rs	241	240
autoheal_heal_pipeline	src-tauri/src/singularity_fusion/auto_heal.rs	258	257
autoheal_heal_tts_module	src-tauri/src/singularity_fusion/auto_heal.rs	207	206
autoheal_init_cognitive	src-tauri/src/singularity_fusion/auto_heal.rs	94	93
autoheal_init_narrative	src-tauri/src/singularity_fusion/auto_heal.rs	109	108
autoheal_init_tts	src-tauri/src/singularity_fusion/auto_heal.rs	134	133
autoheal_rebuild_memory_index	src-tauri/src/singularity_fusion/auto_heal.rs	144	143
autoheal_reload_avatar	src-tauri/src/singularity_fusion/auto_heal.rs	119	118
autoheal_reset	src-tauri/src/singularity_fusion/auto_heal.rs	291	290
autoheal_reset_adaptive	src-tauri/src/singularity_fusion/auto_heal.rs	99	98
autoheal_reset_cognitive	src-tauri/src/singularity_fusion/auto_heal.rs	89	88
autoheal_resync_lipsync	src-tauri/src/singularity_fusion/auto_heal.rs	139	138
autoheal_resync_state	src-tauri/src/singularity_fusion/auto_heal.rs	277	276
autoheal_start_avatar	src-tauri/src/singularity_fusion/auto_heal.rs	124	123
autoheal_start_pipeline	src-tauri/src/singularity_fusion/auto_heal.rs	164	163
autoheal_stop_avatar	src-tauri/src/singularity_fusion/auto_heal.rs	114	113
autoheal_stop_pipeline	src-tauri/src/singularity_fusion/auto_heal.rs	154	153
autoheal_validate_memory	src-tauri/src/singularity_fusion/auto_heal.rs	149	148
automation_cancel	src-tauri/src/commands/automations.rs	923	922
automation_execute	src-tauri/src/commands/automations.rs	714	713
automation_get_available	src-tauri/src/commands/automations.rs	648	647
automation_get_cooldowns	src-tauri/src/commands/automations.rs	901	900
automation_get_history	src-tauri/src/commands/automations.rs	867	866
