command	file	line
 src/ --include=	src/services/api/index.ts	130
${apiName.toLowerCase()}_execute	src/modules/devSudo/devSudoBackendHandlers.ts	511
${apiName.toLowerCase()}_init	src/modules/devSudo/devSudoBackendHandlers.ts	507
${apiName.toLowerCase()}_stop	src/modules/devSudo/devSudoBackendHandlers.ts	515
${handlerName}	src/modules/devSudo/devSudoBackendHandlers.ts	298
add_timeline_event	src/tests/e2e/titane_e2e.test.ts	177
add_timeline_event	src/tests/e2e/titane_e2e.test.ts	282
add_timeline_event	src/tests/e2e/titane_e2e.test.ts	382
autofix_detect_rust_warnings	src/__tests__/e2e-automated-validation.test.tsx	2001
autofix_detect_rust_warnings	src/__tests__/singularity-fusion-integration.test.ts	104
autofix_detect_rust_warnings	src/__tests__/singularity-fusion-mocked.test.ts	140
autofix_detect_typescript_errors	src/__tests__/e2e-automated-validation.test.tsx	2002
autofix_detect_typescript_errors	src/__tests__/singularity-fusion-integration.test.ts	109
autofix_fix_all	src/__tests__/e2e-automated-validation.test.tsx	2010
autofix_get_history	src/__tests__/singularity-fusion-integration.test.ts	122
autofix_get_stats	src/__tests__/e2e-automated-validation.test.tsx	2169
autofix_get_stats	src/__tests__/e2e-automated-validation.test.tsx	2216
autofix_get_stats	src/__tests__/singularity-fusion-integration.test.ts	114
autofix_get_stats	src/__tests__/singularity-fusion-integration.test.ts	267
autofix_reset	src/__tests__/singularity-fusion-integration.test.ts	259
autoheal_detect_broken_modules	src/__tests__/e2e-automated-validation.test.tsx	2003
autoheal_detect_broken_modules	src/__tests__/e2e-automated-validation.test.tsx	2143
autoheal_detect_broken_modules	src/__tests__/singularity-fusion-integration.test.ts	129
autoheal_detect_broken_modules	src/__tests__/singularity-fusion-integration.test.ts	225
autoheal_detect_broken_modules	src/__tests__/singularity-fusion-mocked.test.ts	149
autoheal_get_history	src/__tests__/singularity-fusion-integration.test.ts	148
autoheal_heal_avatar_module	src/__tests__/singularity-fusion-integration.test.ts	142
autoheal_heal_cognitive_module	src/__tests__/e2e-automated-validation.test.tsx	2015
autoheal_heal_cognitive_module	src/__tests__/e2e-automated-validation.test.tsx	2147
autoheal_heal_cognitive_module	src/__tests__/singularity-fusion-integration.test.ts	134
autoheal_heal_cognitive_module	src/__tests__/singularity-fusion-integration.test.ts	229
autoheal_reset	src/__tests__/singularity-fusion-integration.test.ts	260
autoheal_resync_state	src/__tests__/singularity-fusion-integration.test.ts	233
camera_start	src/modules/devSudo/devSudoBackendHandlers.ts	127
chat_get_providers_status	src/tests/regression/titane_regression.test.ts	80
chat_get_providers_status	src/tests/regression/titane_regression.test.ts	383
chat_send_message	src/services/api/index.ts	140
chat_send_message	src/tests/e2e/titane_e2e.test.ts	516
chat_send_message	src/tests/regression/titane_regression.test.ts	333
check_sqlite_available	src/services/cognitive/index.ts	212
clear_all_memory	src/hooks/useMemory.ts	161
cognitive_get_map	src/tests/regression/titane_regression.test.ts	74
command	src/modules/devSudo/devSudoSingularityHandlers.ts	948
conversation_generate	src/tests/e2e/titane_e2e.test.ts	136
conversation_generate	src/tests/e2e/titane_e2e.test.ts	253
conversation_generate	src/tests/e2e/titane_e2e.test.ts	354
crashguard_detect_threats	src/__tests__/e2e-automated-validation.test.tsx	2142
crashguard_detect_threats	src/__tests__/e2e-automated-validation.test.tsx	2212
crashguard_detect_threats	src/__tests__/singularity-fusion-integration.test.ts	178
crashguard_detect_threats	src/__tests__/singularity-fusion-mocked.test.ts	171
crashguard_detect_threats	src/__tests__/singularity-fusion-mocked.test.ts	199
crashguard_get_active_threats	src/__tests__/singularity-fusion-integration.test.ts	183
crashguard_get_stats	src/__tests__/singularity-fusion-integration.test.ts	188
delete_conversation	src/hooks/useMemory.ts	132
delete_state	src/os/bridge/StateBridge.ts	116
fs:write_file	src/core/devops/VisualDevOpsEngine.ts	816
fs_exists	src/core/devops/LocalAgentEngine.ts	960
get_files_by_category	src/tests/e2e/titane_e2e.test.ts	296
get_system_health	src/tests/e2e/titane_e2e.test.ts	118
