git_status	path	bucket_c_match	role	reason	bucket_proof	safe_action
 M	.titane-security-config.json	BELONGS_TO_BUCKET_C	RUNTIME_PATH	path_in_residual_tracked_13	COMMIT_BOUNDARY_NEXT_ACTION_plus_current_git_diff_name_only	STAGE_FOR_C
 M	deployment/latest/MANIFEST.json	BELONGS_TO_BUCKET_C	ARCHIVE_MANIFEST_PATH	path_in_residual_tracked_13	COMMIT_BOUNDARY_NEXT_ACTION_plus_current_git_diff_name_only	STAGE_FOR_C
 M	index.html	BELONGS_TO_BUCKET_C	RUNTIME_PATH	path_in_residual_tracked_13	COMMIT_BOUNDARY_NEXT_ACTION_plus_current_git_diff_name_only	STAGE_FOR_C
 M	memory/memory_core_state.json	BELONGS_TO_BUCKET_C	TEST_PATH	path_in_residual_tracked_13	COMMIT_BOUNDARY_NEXT_ACTION_plus_current_git_diff_name_only	STAGE_FOR_C
 M	registry/autofix-autoheal-rules.jsonl	BELONGS_TO_BUCKET_C	REGISTRY_PATH	path_in_residual_tracked_13	COMMIT_BOUNDARY_NEXT_ACTION_plus_current_git_diff_name_only	STAGE_FOR_C
 M	runtime/stable/manifest.json	BELONGS_TO_BUCKET_C	RUNTIME_PATH	path_in_residual_tracked_13	COMMIT_BOUNDARY_NEXT_ACTION_plus_current_git_diff_name_only	STAGE_FOR_C
 M	runtime/stable/tauri.conf.json	BELONGS_TO_BUCKET_C	RUNTIME_PATH	path_in_residual_tracked_13	COMMIT_BOUNDARY_NEXT_ACTION_plus_current_git_diff_name_only	STAGE_FOR_C
 M	scripts/autoheal/autoheal_rules.jsonl	BELONGS_TO_BUCKET_C	RUNTIME_PATH	path_in_residual_tracked_13	COMMIT_BOUNDARY_NEXT_ACTION_plus_current_git_diff_name_only	STAGE_FOR_C
 M	scripts/check_forbidden_files.sh	BELONGS_TO_BUCKET_C	RUNTIME_PATH	path_in_residual_tracked_13	COMMIT_BOUNDARY_NEXT_ACTION_plus_current_git_diff_name_only	STAGE_FOR_C
 M	scripts/titane-infinity.desktop	BELONGS_TO_BUCKET_C	RUNTIME_PATH	path_in_residual_tracked_13	COMMIT_BOUNDARY_NEXT_ACTION_plus_current_git_diff_name_only	STAGE_FOR_C
 M	src/App.tsx	BELONGS_TO_BUCKET_C	RUNTIME_PATH	path_in_residual_tracked_13	COMMIT_BOUNDARY_NEXT_ACTION_plus_current_git_diff_name_only	STAGE_FOR_C
 M	src/entry.ts	BELONGS_TO_BUCKET_C	RUNTIME_PATH	path_in_residual_tracked_13	COMMIT_BOUNDARY_NEXT_ACTION_plus_current_git_diff_name_only	STAGE_FOR_C
 M	titane-infinity.desktop	BELONGS_TO_BUCKET_C	RUNTIME_PATH	path_in_residual_tracked_13	COMMIT_BOUNDARY_NEXT_ACTION_plus_current_git_diff_name_only	STAGE_FOR_C
??	proof_packs/AUTHORIZED_TRIGGER_ACTIVATION_2026-03-07_0838_757ae4d4c/	EXCLUDED_FROM_CURRENT_LANE	PROOFPACK_PATH	proof_pack_outside_bucket_c_tracked_set	COMMIT_BOUNDARY_NEXT_ACTION_bucket_c_only	EXCLUDE
??	proof_packs/BASELINE_MONITOR_MODE_2026-03-07_1300_757ae4d4c/	EXCLUDED_FROM_CURRENT_LANE	PROOFPACK_PATH	proof_pack_outside_bucket_c_tracked_set	COMMIT_BOUNDARY_NEXT_ACTION_bucket_c_only	EXCLUDE
??	proof_packs/BUCKET_C_EXECUTION_2026-03-07_1615_988814c21/	EXCLUDED_FROM_CURRENT_LANE	PROOFPACK_PATH	proof_pack_outside_bucket_c_tracked_set	COMMIT_BOUNDARY_NEXT_ACTION_bucket_c_only	EXCLUDE
??	proof_packs/COMMIT_BOUNDARY_2026-03-07_1602_0af062e88/	EXCLUDED_FROM_CURRENT_LANE	PROOFPACK_PATH	proof_pack_outside_bucket_c_tracked_set	COMMIT_BOUNDARY_NEXT_ACTION_bucket_c_only	EXCLUDE
??	proof_packs/DOCTRINE_RESOLUTION_PROOF_PACKS_2026-03-07_1225_757ae4d4c/	EXCLUDED_FROM_CURRENT_LANE	PROOFPACK_PATH	proof_pack_outside_bucket_c_tracked_set	COMMIT_BOUNDARY_NEXT_ACTION_bucket_c_only	EXCLUDE
??	proof_packs/FINAL_LOCAL_PROD_STABLE_INSTALL_2026-03-07_1600_757ae4d4c9/	EXCLUDED_FROM_CURRENT_LANE	PROOFPACK_PATH	proof_pack_outside_bucket_c_tracked_set	COMMIT_BOUNDARY_NEXT_ACTION_bucket_c_only	EXCLUDE
??	proof_packs/FINAL_SEAL_EXECUTION_2026-03-07_1239_757ae4d4c/	EXCLUDED_FROM_CURRENT_LANE	PROOFPACK_PATH	proof_pack_outside_bucket_c_tracked_set	COMMIT_BOUNDARY_NEXT_ACTION_bucket_c_only	EXCLUDE
??	proof_packs/GOVERNED_IDLE_CHARTER_2026-03-07_0830_757ae4d4c/	EXCLUDED_FROM_CURRENT_LANE	PROOFPACK_PATH	proof_pack_outside_bucket_c_tracked_set	COMMIT_BOUNDARY_NEXT_ACTION_bucket_c_only	EXCLUDE
??	proof_packs/HYGIENE_RERUN_KEEP_UNTRACKED_2026-03-07_1233_757ae4d4c/	EXCLUDED_FROM_CURRENT_LANE	PROOFPACK_PATH	proof_pack_outside_bucket_c_tracked_set	COMMIT_BOUNDARY_NEXT_ACTION_bucket_c_only	EXCLUDE
??	proof_packs/IDLE_REENTRY_AFTER_TRIGGER_REJECTION_2026-03-07_0844_757ae4d4c/	EXCLUDED_FROM_CURRENT_LANE	PROOFPACK_PATH	proof_pack_outside_bucket_c_tracked_set	COMMIT_BOUNDARY_NEXT_ACTION_bucket_c_only	EXCLUDE
??	proof_packs/NEXT_CYCLE_ENTRY_GATE_2026-03-07_1254_757ae4d4c/	EXCLUDED_FROM_CURRENT_LANE	PROOFPACK_PATH	proof_pack_outside_bucket_c_tracked_set	COMMIT_BOUNDARY_NEXT_ACTION_bucket_c_only	EXCLUDE
??	proof_packs/OMEGA_DORMANT_MASTER_TEMPLATE_2026-03-07_0850_757ae4d4c/	EXCLUDED_FROM_CURRENT_LANE	PROOFPACK_PATH	proof_pack_outside_bucket_c_tracked_set	COMMIT_BOUNDARY_NEXT_ACTION_bucket_c_only	EXCLUDE
??	proof_packs/POST_MERGE_VALIDATION_2026-03-07_757ae4d4c/	EXCLUDED_FROM_CURRENT_LANE	PROOFPACK_PATH	proof_pack_outside_bucket_c_tracked_set	COMMIT_BOUNDARY_NEXT_ACTION_bucket_c_only	EXCLUDE
??	proof_packs/POST_SEAL_BASELINE_CANONIZATION_2026-03-07_1245_757ae4d4c/	EXCLUDED_FROM_CURRENT_LANE	PROOFPACK_PATH	proof_pack_outside_bucket_c_tracked_set	COMMIT_BOUNDARY_NEXT_ACTION_bucket_c_only	EXCLUDE
??	proof_packs/PROD_ARTIFACT_ALIGNMENT_2026-03-07_1457_757ae4d4c9/	EXCLUDED_FROM_CURRENT_LANE	PROOFPACK_PATH	proof_pack_outside_bucket_c_tracked_set	COMMIT_BOUNDARY_NEXT_ACTION_bucket_c_only	EXCLUDE
??	proof_packs/PROD_BUILD_DEPLOY_2026-03-07_1407_757ae4d4c9/	EXCLUDED_FROM_CURRENT_LANE	PROOFPACK_PATH	proof_pack_outside_bucket_c_tracked_set	COMMIT_BOUNDARY_NEXT_ACTION_bucket_c_only	EXCLUDE
??	proof_packs/PROD_BUILD_DEPLOY_RETRY_2026-03-07_1417_757ae4d4c9/	EXCLUDED_FROM_CURRENT_LANE	PROOFPACK_PATH	proof_pack_outside_bucket_c_tracked_set	COMMIT_BOUNDARY_NEXT_ACTION_bucket_c_only	EXCLUDE
??	proof_packs/PROD_IDLE_GUARD_2026-03-07_1554_757ae4d4c9/	EXCLUDED_FROM_CURRENT_LANE	PROOFPACK_PATH	proof_pack_outside_bucket_c_tracked_set	COMMIT_BOUNDARY_NEXT_ACTION_bucket_c_only	EXCLUDE
??	proof_packs/PROD_PASS_CANONIZATION_2026-03-07_1519_757ae4d4c9/	EXCLUDED_FROM_CURRENT_LANE	PROOFPACK_PATH	proof_pack_outside_bucket_c_tracked_set	COMMIT_BOUNDARY_NEXT_ACTION_bucket_c_only	EXCLUDE
??	proof_packs/PR_CI_UNBLOCK_2026-03-06_1847_5a48aa005/	EXCLUDED_FROM_CURRENT_LANE	PROOFPACK_PATH	proof_pack_outside_bucket_c_tracked_set	COMMIT_BOUNDARY_NEXT_ACTION_bucket_c_only	EXCLUDE
??	proof_packs/PR_MAIN_SEAL_READINESS_2026-03-06_1752_5a48aa005/	EXCLUDED_FROM_CURRENT_LANE	PROOFPACK_PATH	proof_pack_outside_bucket_c_tracked_set	COMMIT_BOUNDARY_NEXT_ACTION_bucket_c_only	EXCLUDE
??	proof_packs/SEAL_READINESS_2026-03-07_1309_0af062e88/	EXCLUDED_FROM_CURRENT_LANE	PROOFPACK_PATH	proof_pack_outside_bucket_c_tracked_set	COMMIT_BOUNDARY_NEXT_ACTION_bucket_c_only	EXCLUDE
??	proof_packs/SENTINEL_STANDBY_MODE_2026-03-07_1305_757ae4d4c/	EXCLUDED_FROM_CURRENT_LANE	PROOFPACK_PATH	proof_pack_outside_bucket_c_tracked_set	COMMIT_BOUNDARY_NEXT_ACTION_bucket_c_only	EXCLUDE
??	proof_packs/TERMINAL_IDLE_ARCHIVE_2026-03-07_0855_757ae4d4c/	EXCLUDED_FROM_CURRENT_LANE	PROOFPACK_PATH	proof_pack_outside_bucket_c_tracked_set	COMMIT_BOUNDARY_NEXT_ACTION_bucket_c_only	EXCLUDE
??	proof_packs/TRUTH_HEAL_MAPS_2026-03-07_1249_0af062e88/	EXCLUDED_FROM_CURRENT_LANE	PROOFPACK_PATH	proof_pack_outside_bucket_c_tracked_set	COMMIT_BOUNDARY_NEXT_ACTION_bucket_c_only	EXCLUDE
??	proof_packs/UI_E2E_TOTAL_2026-03-06_1646_5a48aa005/	EXCLUDED_FROM_CURRENT_LANE	PROOFPACK_PATH	proof_pack_outside_bucket_c_tracked_set	COMMIT_BOUNDARY_NEXT_ACTION_bucket_c_only	EXCLUDE
??	proof_packs/WAKE_PROTOCOL_READY_STATE_2026-03-07_0815_757ae4d4c/	EXCLUDED_FROM_CURRENT_LANE	PROOFPACK_PATH	proof_pack_outside_bucket_c_tracked_set	COMMIT_BOUNDARY_NEXT_ACTION_bucket_c_only	EXCLUDE
??	proof_packs/WORKSPACE_HYGIENE_AND_SEAL_2026-03-07_0711_757ae4d4c/	EXCLUDED_FROM_CURRENT_LANE	PROOFPACK_PATH	proof_pack_outside_bucket_c_tracked_set	COMMIT_BOUNDARY_NEXT_ACTION_bucket_c_only	EXCLUDE
