path	size_bytes	classification	role	reason	authority_source	safe_action	role_reason	top_pack_dir
proof_packs/ARCHIVE_POINTER_MANIFEST_2026-03-07_1651_f5819cee9.md	781	EXCLUDED_BY_POLICY	CURRENT_MANIFEST_PATH	top-level governance policy/manifest docs are explicit policy artifacts, not proof-pack payload directories	historical residue policy doc classification rule	HOLD	name/path indicates manifest material	proof_packs/ARCHIVE_POINTER_MANIFEST_2026-03-07_1651_f5819cee9.md/
proof_packs/AUTHORIZED_TRIGGER_ACTIVATION_2026-03-07_0838_757ae4d4c/00_EXEC_SUMMARY.md	851	LOCAL_ONLY_HISTORICAL	HISTORICAL_PROOFPACK_PATH	pack directory is indexed as historical/local-only governed residue	registry/proofpack-index.jsonl existing governance entry	KEEP_LOCAL_AS_GOVERNED	default proof-pack path	proof_packs/AUTHORIZED_TRIGGER_ACTIVATION_2026-03-07_0838_757ae4d4c/
proof_packs/AUTHORIZED_TRIGGER_ACTIVATION_2026-03-07_0838_757ae4d4c/01_BOOTSTRAP.md	971	LOCAL_ONLY_HISTORICAL	HISTORICAL_PROOFPACK_PATH	pack directory is indexed as historical/local-only governed residue	registry/proofpack-index.jsonl existing governance entry	KEEP_LOCAL_AS_GOVERNED	default proof-pack path	proof_packs/AUTHORIZED_TRIGGER_ACTIVATION_2026-03-07_0838_757ae4d4c/
proof_packs/AUTHORIZED_TRIGGER_ACTIVATION_2026-03-07_0838_757ae4d4c/02_BASELINE_REFERENCE.md	976	LOCAL_ONLY_HISTORICAL	HISTORICAL_PROOFPACK_PATH	pack directory is indexed as historical/local-only governed residue	registry/proofpack-index.jsonl existing governance entry	KEEP_LOCAL_AS_GOVERNED	default proof-pack path	proof_packs/AUTHORIZED_TRIGGER_ACTIVATION_2026-03-07_0838_757ae4d4c/
proof_packs/AUTHORIZED_TRIGGER_ACTIVATION_2026-03-07_0838_757ae4d4c/03_TRIGGER_CAPTURE.md	653	LOCAL_ONLY_HISTORICAL	HISTORICAL_PROOFPACK_PATH	pack directory is indexed as historical/local-only governed residue	registry/proofpack-index.jsonl existing governance entry	KEEP_LOCAL_AS_GOVERNED	default proof-pack path	proof_packs/AUTHORIZED_TRIGGER_ACTIVATION_2026-03-07_0838_757ae4d4c/
proof_packs/AUTHORIZED_TRIGGER_ACTIVATION_2026-03-07_0838_757ae4d4c/04_THRESHOLD_VALIDATION.md	1290	LOCAL_ONLY_HISTORICAL	HISTORICAL_PROOFPACK_PATH	pack directory is indexed as historical/local-only governed residue	registry/proofpack-index.jsonl existing governance entry	KEEP_LOCAL_AS_GOVERNED	default proof-pack path	proof_packs/AUTHORIZED_TRIGGER_ACTIVATION_2026-03-07_0838_757ae4d4c/
proof_packs/AUTHORIZED_TRIGGER_ACTIVATION_2026-03-07_0838_757ae4d4c/05_TRIGGER_CLASSIFICATION.md	566	LOCAL_ONLY_HISTORICAL	HISTORICAL_PROOFPACK_PATH	pack directory is indexed as historical/local-only governed residue	registry/proofpack-index.jsonl existing governance entry	KEEP_LOCAL_AS_GOVERNED	default proof-pack path	proof_packs/AUTHORIZED_TRIGGER_ACTIVATION_2026-03-07_0838_757ae4d4c/
proof_packs/AUTHORIZED_TRIGGER_ACTIVATION_2026-03-07_0838_757ae4d4c/06_DELTA_SCOPE.md	631	LOCAL_ONLY_HISTORICAL	HISTORICAL_PROOFPACK_PATH	pack directory is indexed as historical/local-only governed residue	registry/proofpack-index.jsonl existing governance entry	KEEP_LOCAL_AS_GOVERNED	default proof-pack path	proof_packs/AUTHORIZED_TRIGGER_ACTIVATION_2026-03-07_0838_757ae4d4c/
proof_packs/AUTHORIZED_TRIGGER_ACTIVATION_2026-03-07_0838_757ae4d4c/07_ALLOWED_WAKE_PATH.md	693	LOCAL_ONLY_HISTORICAL	HISTORICAL_PROOFPACK_PATH	pack directory is indexed as historical/local-only governed residue	registry/proofpack-index.jsonl existing governance entry	KEEP_LOCAL_AS_GOVERNED	default proof-pack path	proof_packs/AUTHORIZED_TRIGGER_ACTIVATION_2026-03-07_0838_757ae4d4c/
proof_packs/AUTHORIZED_TRIGGER_ACTIVATION_2026-03-07_0838_757ae4d4c/08_RESIDUAL_RISKS.md	1341	LOCAL_ONLY_HISTORICAL	HISTORICAL_PROOFPACK_PATH	pack directory is indexed as historical/local-only governed residue	registry/proofpack-index.jsonl existing governance entry	KEEP_LOCAL_AS_GOVERNED	default proof-pack path	proof_packs/AUTHORIZED_TRIGGER_ACTIVATION_2026-03-07_0838_757ae4d4c/
proof_packs/AUTHORIZED_TRIGGER_ACTIVATION_2026-03-07_0838_757ae4d4c/09_ACTIVATION_DECISION.md	1075	LOCAL_ONLY_HISTORICAL	HISTORICAL_PROOFPACK_PATH	pack directory is indexed as historical/local-only governed residue	registry/proofpack-index.jsonl existing governance entry	KEEP_LOCAL_AS_GOVERNED	default proof-pack path	proof_packs/AUTHORIZED_TRIGGER_ACTIVATION_2026-03-07_0838_757ae4d4c/
proof_packs/AUTHORIZED_TRIGGER_ACTIVATION_2026-03-07_0838_757ae4d4c/ROLLBACK.md	214	LOCAL_ONLY_HISTORICAL	HISTORICAL_PROOFPACK_PATH	pack directory is indexed as historical/local-only governed residue	registry/proofpack-index.jsonl existing governance entry	KEEP_LOCAL_AS_GOVERNED	default proof-pack path	proof_packs/AUTHORIZED_TRIGGER_ACTIVATION_2026-03-07_0838_757ae4d4c/
proof_packs/AUTHORIZED_TRIGGER_ACTIVATION_2026-03-07_0838_757ae4d4c/VERDICT.md	196	LOCAL_ONLY_HISTORICAL	HISTORICAL_PROOFPACK_PATH	pack directory is indexed as historical/local-only governed residue	registry/proofpack-index.jsonl existing governance entry	KEEP_LOCAL_AS_GOVERNED	default proof-pack path	proof_packs/AUTHORIZED_TRIGGER_ACTIVATION_2026-03-07_0838_757ae4d4c/
proof_packs/AUTHORIZED_TRIGGER_ACTIVATION_2026-03-07_0838_757ae4d4c/raw/bootstrap_summary.txt	275	LOCAL_ONLY_HISTORICAL	TEMPORARY_RAW_LOG_PATH	pack directory is indexed as historical/local-only governed residue	registry/proofpack-index.jsonl existing governance entry	KEEP_LOCAL_AS_GOVERNED	contains /raw/ execution evidence	proof_packs/AUTHORIZED_TRIGGER_ACTIVATION_2026-03-07_0838_757ae4d4c/
proof_packs/AUTHORIZED_TRIGGER_ACTIVATION_2026-03-07_0838_757ae4d4c/raw/check_baseline_757ae4d4c_from_idle.txt	32	LOCAL_ONLY_HISTORICAL	TEMPORARY_RAW_LOG_PATH	pack directory is indexed as historical/local-only governed residue	registry/proofpack-index.jsonl existing governance entry	KEEP_LOCAL_AS_GOVERNED	contains /raw/ execution evidence	proof_packs/AUTHORIZED_TRIGGER_ACTIVATION_2026-03-07_0838_757ae4d4c/
proof_packs/AUTHORIZED_TRIGGER_ACTIVATION_2026-03-07_0838_757ae4d4c/raw/check_baseline_757ae4d4c_from_sentinel.txt	32	LOCAL_ONLY_HISTORICAL	TEMPORARY_RAW_LOG_PATH	pack directory is indexed as historical/local-only governed residue	registry/proofpack-index.jsonl existing governance entry	KEEP_LOCAL_AS_GOVERNED	contains /raw/ execution evidence	proof_packs/AUTHORIZED_TRIGGER_ACTIVATION_2026-03-07_0838_757ae4d4c/
proof_packs/AUTHORIZED_TRIGGER_ACTIVATION_2026-03-07_0838_757ae4d4c/raw/check_baseline_757ae4d4c_from_wake.txt	32	LOCAL_ONLY_HISTORICAL	TEMPORARY_RAW_LOG_PATH	pack directory is indexed as historical/local-only governed residue	registry/proofpack-index.jsonl existing governance entry	KEEP_LOCAL_AS_GOVERNED	contains /raw/ execution evidence	proof_packs/AUTHORIZED_TRIGGER_ACTIVATION_2026-03-07_0838_757ae4d4c/
proof_packs/AUTHORIZED_TRIGGER_ACTIVATION_2026-03-07_0838_757ae4d4c/raw/check_state_governed_idle_confirmed.txt	42	LOCAL_ONLY_HISTORICAL	TEMPORARY_RAW_LOG_PATH	pack directory is indexed as historical/local-only governed residue	registry/proofpack-index.jsonl existing governance entry	KEEP_LOCAL_AS_GOVERNED	contains /raw/ execution evidence	proof_packs/AUTHORIZED_TRIGGER_ACTIVATION_2026-03-07_0838_757ae4d4c/
proof_packs/AUTHORIZED_TRIGGER_ACTIVATION_2026-03-07_0838_757ae4d4c/raw/check_state_standby_confirmed.txt	36	LOCAL_ONLY_HISTORICAL	TEMPORARY_RAW_LOG_PATH	pack directory is indexed as historical/local-only governed residue	registry/proofpack-index.jsonl existing governance entry	KEEP_LOCAL_AS_GOVERNED	contains /raw/ execution evidence	proof_packs/AUTHORIZED_TRIGGER_ACTIVATION_2026-03-07_0838_757ae4d4c/
proof_packs/AUTHORIZED_TRIGGER_ACTIVATION_2026-03-07_0838_757ae4d4c/raw/check_state_wake_protocol_ready.txt	38	LOCAL_ONLY_HISTORICAL	TEMPORARY_RAW_LOG_PATH	pack directory is indexed as historical/local-only governed residue	registry/proofpack-index.jsonl existing governance entry	KEEP_LOCAL_AS_GOVERNED	contains /raw/ execution evidence	proof_packs/AUTHORIZED_TRIGGER_ACTIVATION_2026-03-07_0838_757ae4d4c/
proof_packs/AUTHORIZED_TRIGGER_ACTIVATION_2026-03-07_0838_757ae4d4c/raw/git_branch_show_current.txt	5	LOCAL_ONLY_HISTORICAL	TEMPORARY_RAW_LOG_PATH	pack directory is indexed as historical/local-only governed residue	registry/proofpack-index.jsonl existing governance entry	KEEP_LOCAL_AS_GOVERNED	contains /raw/ execution evidence	proof_packs/AUTHORIZED_TRIGGER_ACTIVATION_2026-03-07_0838_757ae4d4c/
proof_packs/AUTHORIZED_TRIGGER_ACTIVATION_2026-03-07_0838_757ae4d4c/raw/git_rev_parse_short.txt	10	LOCAL_ONLY_HISTORICAL	TEMPORARY_RAW_LOG_PATH	pack directory is indexed as historical/local-only governed residue	registry/proofpack-index.jsonl existing governance entry	KEEP_LOCAL_AS_GOVERNED	contains /raw/ execution evidence	proof_packs/AUTHORIZED_TRIGGER_ACTIVATION_2026-03-07_0838_757ae4d4c/
proof_packs/AUTHORIZED_TRIGGER_ACTIVATION_2026-03-07_0838_757ae4d4c/raw/git_status_short.txt	982	LOCAL_ONLY_HISTORICAL	TEMPORARY_RAW_LOG_PATH	pack directory is indexed as historical/local-only governed residue	registry/proofpack-index.jsonl existing governance entry	KEEP_LOCAL_AS_GOVERNED	contains /raw/ execution evidence	proof_packs/AUTHORIZED_TRIGGER_ACTIVATION_2026-03-07_0838_757ae4d4c/
proof_packs/AUTHORIZED_TRIGGER_ACTIVATION_2026-03-07_0838_757ae4d4c/raw/reference_idle_pack.txt	60	LOCAL_ONLY_HISTORICAL	TEMPORARY_RAW_LOG_PATH	pack directory is indexed as historical/local-only governed residue	registry/proofpack-index.jsonl existing governance entry	KEEP_LOCAL_AS_GOVERNED	contains /raw/ execution evidence	proof_packs/AUTHORIZED_TRIGGER_ACTIVATION_2026-03-07_0838_757ae4d4c/
proof_packs/AUTHORIZED_TRIGGER_ACTIVATION_2026-03-07_0838_757ae4d4c/raw/reference_sentinel_pack.txt	60	LOCAL_ONLY_HISTORICAL	TEMPORARY_RAW_LOG_PATH	pack directory is indexed as historical/local-only governed residue	registry/proofpack-index.jsonl existing governance entry	KEEP_LOCAL_AS_GOVERNED	contains /raw/ execution evidence	proof_packs/AUTHORIZED_TRIGGER_ACTIVATION_2026-03-07_0838_757ae4d4c/
proof_packs/AUTHORIZED_TRIGGER_ACTIVATION_2026-03-07_0838_757ae4d4c/raw/reference_wake_pack.txt	64	LOCAL_ONLY_HISTORICAL	TEMPORARY_RAW_LOG_PATH	pack directory is indexed as historical/local-only governed residue	registry/proofpack-index.jsonl existing governance entry	KEEP_LOCAL_AS_GOVERNED	contains /raw/ execution evidence	proof_packs/AUTHORIZED_TRIGGER_ACTIVATION_2026-03-07_0838_757ae4d4c/
