path	files	total_bytes	has_verdict	has_rollback
proof_packs/AUTHORIZED_TRIGGER_ACTIVATION_2026-03-07_0838_757ae4d4c/	28	13287	true	true
proof_packs/BASELINE_MONITOR_MODE_2026-03-07_1300_757ae4d4c/	24	13014	true	true
proof_packs/DOCTRINE_RESOLUTION_PROOF_PACKS_2026-03-07_1225_757ae4d4c/	54	5304638959	true	true
proof_packs/FINAL_LOCAL_PROD_STABLE_INSTALL_2026-03-07_1600_757ae4d4c9/	31	194882	true	true
proof_packs/FINAL_SEAL_EXECUTION_2026-03-07_1239_757ae4d4c/	43	85984	true	true
proof_packs/GOVERNED_IDLE_CHARTER_2026-03-07_0830_757ae4d4c/	25	15684	true	true
proof_packs/HYGIENE_RERUN_KEEP_UNTRACKED_2026-03-07_1233_757ae4d4c/	44	183272	true	true
proof_packs/IDLE_REENTRY_AFTER_TRIGGER_REJECTION_2026-03-07_0844_757ae4d4c/	24	11447	true	true
proof_packs/NEXT_CYCLE_ENTRY_GATE_2026-03-07_1254_757ae4d4c/	25	48908	true	true
proof_packs/OMEGA_DORMANT_MASTER_TEMPLATE_2026-03-07_0850_757ae4d4c/	18	10614	true	true
proof_packs/POST_MERGE_VALIDATION_2026-03-07_757ae4d4c/	34	29532	true	true
proof_packs/POST_SEAL_BASELINE_CANONIZATION_2026-03-07_1245_757ae4d4c/	36	103149	true	true
proof_packs/PROD_ARTIFACT_ALIGNMENT_2026-03-07_1457_757ae4d4c9/	20	88538972	true	true
proof_packs/PROD_BUILD_DEPLOY_2026-03-07_1407_757ae4d4c9/	36	20687	true	true
proof_packs/PROD_BUILD_DEPLOY_RETRY_2026-03-07_1417_757ae4d4c9/	41	104041	true	true
proof_packs/PROD_IDLE_GUARD_2026-03-07_1554_757ae4d4c9/	13	13408	true	true
proof_packs/PROD_PASS_CANONIZATION_2026-03-07_1519_757ae4d4c9/	15	15240	true	true
proof_packs/PR_CI_UNBLOCK_2026-03-06_1847_5a48aa005/	109	8083386	false	false
proof_packs/PR_MAIN_SEAL_READINESS_2026-03-06_1752_5a48aa005/	47	28379	false	false
proof_packs/SEAL_READINESS_2026-03-07_1309_0af062e88/	33	693011	true	true
proof_packs/SENTINEL_STANDBY_MODE_2026-03-07_1305_757ae4d4c/	22	14055	true	true
proof_packs/TERMINAL_IDLE_ARCHIVE_2026-03-07_0855_757ae4d4c/	29	9995	true	true
proof_packs/TRUTH_HEAL_MAPS_2026-03-07_1249_0af062e88/	51	28370507	true	true
proof_packs/UI_E2E_TOTAL_2026-03-06_1646_5a48aa005/	116	164205674	false	false
proof_packs/WAKE_PROTOCOL_READY_STATE_2026-03-07_0815_757ae4d4c/	23	15485	true	true
proof_packs/WORKSPACE_HYGIENE_AND_SEAL_2026-03-07_0711_757ae4d4c/	50	104633	true	true
