pack_path	lifecycle	completeness	has_verdict	has_rollback	has_scope	has_exec_summary_or_final	has_artifacts_index	incomplete_reason	file_count	total_bytes
proof_packs/AUTHORIZED_TRIGGER_ACTIVATION_2026-03-07_0838_757ae4d4c/	HISTORICAL_BUT_VALID	COMPLETE	true	true	true	true	false	N/A	28	13287
proof_packs/BASELINE_MONITOR_MODE_2026-03-07_1300_757ae4d4c/	HISTORICAL_BUT_VALID	COMPLETE	true	true	true	true	false	N/A	24	13014
proof_packs/DOCTRINE_RESOLUTION_PROOF_PACKS_2026-03-07_1225_757ae4d4c/	HISTORICAL_BUT_VALID	COMPLETE	true	true	true	true	false	N/A	54	5304638959
proof_packs/FINAL_LOCAL_PROD_STABLE_INSTALL_2026-03-07_1600_757ae4d4c9/	HISTORICAL_BUT_VALID	COMPLETE	true	true	false	true	false	N/A	31	194882
proof_packs/FINAL_SEAL_EXECUTION_2026-03-07_1239_757ae4d4c/	HISTORICAL_BUT_VALID	COMPLETE	true	true	true	true	false	N/A	43	85984
proof_packs/GOVERNED_IDLE_CHARTER_2026-03-07_0830_757ae4d4c/	HISTORICAL_BUT_VALID	COMPLETE	true	true	true	true	false	N/A	25	15684
proof_packs/HYGIENE_RERUN_KEEP_UNTRACKED_2026-03-07_1233_757ae4d4c/	HISTORICAL_BUT_VALID	COMPLETE	true	true	true	true	false	N/A	44	183272
proof_packs/IDLE_REENTRY_AFTER_TRIGGER_REJECTION_2026-03-07_0844_757ae4d4c/	HISTORICAL_BUT_VALID	COMPLETE	true	true	true	true	false	N/A	24	11447
proof_packs/NEXT_CYCLE_ENTRY_GATE_2026-03-07_1254_757ae4d4c/	HISTORICAL_BUT_VALID	COMPLETE	true	true	true	true	false	N/A	25	48908
proof_packs/OMEGA_DORMANT_MASTER_TEMPLATE_2026-03-07_0850_757ae4d4c/	HISTORICAL_BUT_VALID	COMPLETE	true	true	false	true	false	N/A	18	10614
proof_packs/POST_MERGE_VALIDATION_2026-03-07_757ae4d4c/	HISTORICAL_BUT_VALID	COMPLETE	true	true	true	true	false	N/A	34	29532
proof_packs/POST_SEAL_BASELINE_CANONIZATION_2026-03-07_1245_757ae4d4c/	HISTORICAL_BUT_VALID	COMPLETE	true	true	true	true	false	N/A	36	103149
proof_packs/PR_CI_UNBLOCK_2026-03-06_1847_5a48aa005/	INCOMPLETE	INCOMPLETE	false	false	true	true	false	INTERRUPTED	109	8083386
proof_packs/PR_MAIN_SEAL_READINESS_2026-03-06_1752_5a48aa005/	INCOMPLETE	INCOMPLETE	false	false	true	true	false	INTERRUPTED	47	28379
proof_packs/PROD_ARTIFACT_ALIGNMENT_2026-03-07_1457_757ae4d4c9/	INCOMPLETE	INCOMPLETE	true	true	false	false	false	MISSING_SUMMARY_ONLY	20	88538972
proof_packs/PROD_BUILD_DEPLOY_2026-03-07_1407_757ae4d4c9/	INCOMPLETE	INCOMPLETE	true	true	false	false	false	MISSING_SUMMARY_ONLY	36	20687
proof_packs/PROD_BUILD_DEPLOY_RETRY_2026-03-07_1417_757ae4d4c9/	INCOMPLETE	INCOMPLETE	true	true	false	false	false	MISSING_SUMMARY_ONLY	41	104041
proof_packs/PROD_IDLE_GUARD_2026-03-07_1554_757ae4d4c9/	HISTORICAL_BUT_VALID	COMPLETE	true	true	false	true	false	N/A	13	13408
proof_packs/PROD_PASS_CANONIZATION_2026-03-07_1519_757ae4d4c9/	HISTORICAL_BUT_VALID	COMPLETE	true	true	false	true	false	N/A	15	15240
proof_packs/SEAL_READINESS_2026-03-07_1309_0af062e88/	STALE	COMPLETE	true	true	true	true	false	N/A	43	709214
proof_packs/SENTINEL_STANDBY_MODE_2026-03-07_1305_757ae4d4c/	HISTORICAL_BUT_VALID	COMPLETE	true	true	true	true	false	N/A	22	14055
proof_packs/TERMINAL_IDLE_ARCHIVE_2026-03-07_0855_757ae4d4c/	HISTORICAL_BUT_VALID	COMPLETE	true	true	false	true	false	N/A	29	9995
proof_packs/TREE_CLOSURE_2026-03-07_1321_0af062e88/	INCOMPLETE	INCOMPLETE	false	false	true	true	false	INTERRUPTED	40	266958
proof_packs/TRUTH_HEAL_MAPS_2026-03-07_1249_0af062e88/	STALE	COMPLETE	true	true	true	true	false	N/A	51	28370507
proof_packs/UI_E2E_TOTAL_2026-03-06_1646_5a48aa005/	INCOMPLETE	INCOMPLETE	false	false	true	true	false	INTERRUPTED	116	164205674
proof_packs/WAKE_PROTOCOL_READY_STATE_2026-03-07_0815_757ae4d4c/	HISTORICAL_BUT_VALID	COMPLETE	true	true	true	true	false	N/A	23	15485
proof_packs/WORKSPACE_HYGIENE_AND_SEAL_2026-03-07_0711_757ae4d4c/	HISTORICAL_BUT_VALID	COMPLETE	true	true	true	true	false	N/A	50	104633
