pack_path	file_size	file_path
proof_packs/DOCTRINE_RESOLUTION_PROOF_PACKS_2026-03-07_1225_757ae4d4c/	5304496482	proof_packs/DOCTRINE_RESOLUTION_PROOF_PACKS_2026-03-07_1225_757ae4d4c/raw/source_scan_rg.txt
proof_packs/DOCTRINE_RESOLUTION_PROOF_PACKS_2026-03-07_1225_757ae4d4c/	35976	proof_packs/DOCTRINE_RESOLUTION_PROOF_PACKS_2026-03-07_1225_757ae4d4c/raw/source__run-p10-desktop-cert.sh
proof_packs/DOCTRINE_RESOLUTION_PROOF_PACKS_2026-03-07_1225_757ae4d4c/	30098	proof_packs/DOCTRINE_RESOLUTION_PROOF_PACKS_2026-03-07_1225_757ae4d4c/raw/source__README.md
proof_packs/DOCTRINE_RESOLUTION_PROOF_PACKS_2026-03-07_1225_757ae4d4c/	11538	proof_packs/DOCTRINE_RESOLUTION_PROOF_PACKS_2026-03-07_1225_757ae4d4c/raw/source_scan_rg_head120.txt
proof_packs/DOCTRINE_RESOLUTION_PROOF_PACKS_2026-03-07_1225_757ae4d4c/	8489	proof_packs/DOCTRINE_RESOLUTION_PROOF_PACKS_2026-03-07_1225_757ae4d4c/raw/source__lib_cert.sh
proof_packs/UI_E2E_TOTAL_2026-03-06_1646_5a48aa005/	154097416	proof_packs/UI_E2E_TOTAL_2026-03-06_1646_5a48aa005/bootstrap_raw.log
proof_packs/UI_E2E_TOTAL_2026-03-06_1646_5a48aa005/	2434875	proof_packs/UI_E2E_TOTAL_2026-03-06_1646_5a48aa005/artifacts/full_postfix3/wdio.log
proof_packs/UI_E2E_TOTAL_2026-03-06_1646_5a48aa005/	2378611	proof_packs/UI_E2E_TOTAL_2026-03-06_1646_5a48aa005/logs/full_run2/wdio.log
proof_packs/UI_E2E_TOTAL_2026-03-06_1646_5a48aa005/	609984	proof_packs/UI_E2E_TOTAL_2026-03-06_1646_5a48aa005/logs/full_run1/wdio.log
proof_packs/UI_E2E_TOTAL_2026-03-06_1646_5a48aa005/	599341	proof_packs/UI_E2E_TOTAL_2026-03-06_1646_5a48aa005/logs/full_run3/wdio.log
