category,file,line,excerpt
TEST_ONLY,src/test/setup.ts,83,"class MockWebSocket {"
TEST_ONLY,src/test/setup.ts,90,"  readyState = MockWebSocket.CONNECTING;"
TEST_ONLY,src/test/setup.ts,100,"      this.readyState = MockWebSocket.OPEN;"
TEST_ONLY,src/test/setup.ts,110,"    this.readyState = MockWebSocket.CLOSED;"
TEST_ONLY,src/test/setup.ts,115,"vi.stubGlobal('WebSocket', MockWebSocket as any);"
TEST_ONLY,src/__tests__/edge-cases/ErrorHandling.test.tsx,252,"      const promises = Array.from({ length: 5 }, () => fetch('/api/test')); // @network-allowed: mocked API calls for concurrency test"
LEGACY_HORS_SCOPE,src/core/http/httpClient.ts,128," * - Toutes requêtes HTTP passent par Tauri (pas de fetch() direct)"
LEGACY_HORS_SCOPE,src/core/http/httpClient.ts,311," * Wrapper compatibilité fetch() standard"
TEST_ONLY,src/__tests__/e2e/VoiceWorkflow.e2e.test.tsx,30,"      await fetch('/transcribe'); // @network-allowed: mocked voice transcription endpoint for E2E"
LEGACY_HORS_SCOPE,src/utils/webVitals.ts,292,"    // fetch('/api/analytics/web-vitals', {"
LEGACY_HORS_SCOPE,src/lib/logger.ts,306,"      // await fetch('/api/logs', { method: 'POST', body: JSON.stringify(_entry) });"
LEGACY_HORS_SCOPE,src/lib/ipc.ts,4," * **Règle absolue:** Interdit fetch(""ipc://..."") — passer par l'IPC wrapper uniquement"
LEGACY_HORS_SCOPE,src/lib/ipc.ts,38," * Wrapper IPC centralisé — remplace tout fetch(""ipc://..."")"
LEGACY_HORS_SCOPE,src/lib/ipc.ts,40," * **RÈGLE CRITIQUE:** Aucun fetch(""ipc://localhost/..."") autorisé"
LEGACY_HORS_SCOPE,src/visual-engine/OSIntegrationBridge.ts,21," * - Gérer WebSocket/EventSource connections"
LEGACY_HORS_SCOPE,src/visual-engine/OSIntegrationBridge.ts,142,"  private ws: WebSocket | null = null;"
LEGACY_HORS_SCOPE,src/visual-engine/OSIntegrationBridge.ts,212,"      this.connectWebSocket();"
LEGACY_HORS_SCOPE,src/visual-engine/OSIntegrationBridge.ts,411,"  private connectWebSocket(): void {"
LEGACY_HORS_SCOPE,src/visual-engine/OSIntegrationBridge.ts,420,"        (this.ws.readyState === WebSocket.OPEN ||"
LEGACY_HORS_SCOPE,src/visual-engine/OSIntegrationBridge.ts,421,"          this.ws.readyState === WebSocket.CONNECTING)"
LEGACY_HORS_SCOPE,src/visual-engine/OSIntegrationBridge.ts,431,"      this.ws = new WebSocket(this.config.websocketUrl);"
LEGACY_HORS_SCOPE,src/visual-engine/OSIntegrationBridge.ts,438,"          console.log('[OSIntegrationBridge] WebSocket connected');"
LEGACY_HORS_SCOPE,src/visual-engine/OSIntegrationBridge.ts,454,"        console.error('[OSIntegrationBridge] WebSocket error:', error);"
LEGACY_HORS_SCOPE,src/visual-engine/OSIntegrationBridge.ts,463,"          console.log('[OSIntegrationBridge] WebSocket closed');"
LEGACY_HORS_SCOPE,src/visual-engine/OSIntegrationBridge.ts,482,"          this.connectWebSocket();"
LEGACY_HORS_SCOPE,src/visual-engine/OSIntegrationBridge.ts,486,"      console.error('[OSIntegrationBridge] Failed to create WebSocket:', error);"
LEGACY_HORS_SCOPE,src/visual-engine/OSIntegrationBridge.ts,501,"      // 1. Endpoint: fetch('http://localhost:7890/api/os/state') or config.apiEndpoint"
LEGACY_HORS_SCOPE,src/visual-engine/TitaneVisualEngineV21.ts,10," * - WebSocket integration for backend sync"
LEGACY_HORS_SCOPE,src/visual-engine/TitaneVisualEngineV21.ts,36,"  enableWebSocket: boolean;"
LEGACY_HORS_SCOPE,src/visual-engine/TitaneVisualEngineV21.ts,60,"  private websocket: WebSocket | null = null;"
LEGACY_HORS_SCOPE,src/visual-engine/TitaneVisualEngineV21.ts,107,"      enableWebSocket: false,"
LEGACY_HORS_SCOPE,src/visual-engine/TitaneVisualEngineV21.ts,137,"    // Connect WebSocket if enabled"
LEGACY_HORS_SCOPE,src/visual-engine/TitaneVisualEngineV21.ts,138,"    if (this.config.enableWebSocket && this.config.websocketUrl) {"
LEGACY_HORS_SCOPE,src/visual-engine/TitaneVisualEngineV21.ts,139,"      this.connectWebSocket(this.config.websocketUrl);"
LEGACY_HORS_SCOPE,src/visual-engine/TitaneVisualEngineV21.ts,168,"    // Disconnect WebSocket"
LEGACY_HORS_SCOPE,src/visual-engine/TitaneVisualEngineV21.ts,577,"   * Connect to WebSocket for real-time backend sync"
LEGACY_HORS_SCOPE,src/visual-engine/TitaneVisualEngineV21.ts,579,"  private connectWebSocket(url: string): void {"
LEGACY_HORS_SCOPE,src/visual-engine/TitaneVisualEngineV21.ts,588,"        (this.websocket.readyState === WebSocket.OPEN ||"
LEGACY_HORS_SCOPE,src/visual-engine/TitaneVisualEngineV21.ts,589,"          this.websocket.readyState === WebSocket.CONNECTING)"
LEGACY_HORS_SCOPE,src/visual-engine/TitaneVisualEngineV21.ts,600,"      this.websocket = new WebSocket(url);"
LEGACY_HORS_SCOPE,src/visual-engine/TitaneVisualEngineV21.ts,603,"        console.log('[VisualEngineV21] WebSocket connected');"
